Title,Company,Location,Via,Related Links,Extensions
Senior Product Manager,Humana Inc.,"  Kalamazoo, MI   ",via Employment Crossing,"[{""link"": ""https://www.employmentcrossing.com/job/id-bd2aa172f07af1cffa0c732536041602?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Employment Crossing""}]",Full-time
Operations Manager - Regional Distribution Center - Kalamazoo...,Target,"  Kalamazoo, MI   ",via Glassdoor,"[{""link"": ""https://www.glassdoor.com/job-listing/operations-manager-regional-distribution-center-kalamazoo-michigan-target-JV_IC1134900_KO0,66_KE67,73.htm?jl=1009181539583&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Glassdoor""}]","12 days ago, 69K–124K a year, Full-time, Health insurance, Dental insurance, Paid time off"
IT Technician,ETeam Inc,"  Kalamazoo, MI   ",via WAVY Jobs,"[{""link"": ""https://jobs.wavy.com/jobs/it-technician-kalamazoo-michigan/1300054669-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on WAVY Jobs""}]","3 days ago, 18–21 an hour, Contractor, No degree mentioned"
Physical Therapist,NovaCare Rehabilitation,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=ab5580e0cfe656b5"", ""text"": ""Apply directly on Indeed""}]","4 days ago, Full-time, Health insurance, Dental insurance, Paid time off"
Legal Assistant,Kalamazoo County Government,"  Kalamazoo, MI   ",via Geebo,"[{""link"": ""https://geebo.com/jobs-online/view/id/1319635978-legal-assistant-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Geebo""}]","4 days ago, 20–28 an hour, Full-time, No degree mentioned, Dental insurance, Paid time off"
Pharmacist - Registered,Costco Wholesale,"  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.ziprecruiter.com/c/Costco-Wholesale/Job/Pharmacist-Registered/-in-Kalamazoo,MI?jid=4b78034c1c9ae3f2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]","18 hours ago, Full-time, Health insurance, Dental insurance, Paid time off"
Kalamazoo Area Security Officer,DK Security,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.indeed.com/viewjob?jk=30930f7821c87256"", ""text"": ""Apply directly on Indeed""}]","12 hours ago, Full-time and Part-time, No degree mentioned, Health insurance, Dental insurance"
Bank Teller,Fifth Third Bank,"  Kalamazoo, MI   ",via Geebo,"[{""link"": ""https://geebo.com/jobs-online/view/id/347704906-bank-teller-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Geebo""}]","3 days ago, 20–28 an hour, Full-time, No degree mentioned, Health insurance, Dental insurance"
Construction Worker,HVE INCORPORATED,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=833448bece826534"", ""text"": ""Apply directly on Indeed""}]","5 days ago, 22–28 an hour, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
Kitchen Manager/Chef,Kalamazoo Beer Exchange,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=4667246c58201a93"", ""text"": ""Apply directly on Indeed""}]","4 days ago, 45K–55K a year, Full-time, No degree mentioned"
Server/Bartender,Maru Kalamazoo,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=ca7663a566f0a82e"", ""text"": ""Apply directly on Indeed""}]","4 days ago, 18–36 an hour, Full-time and Part-time, No degree mentioned, Health insurance, Dental insurance"
Server,Life Care Services,"  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.ziprecruiter.com/c/Life-Care-Services/Job/Server/-in-Kalamazoo,MI?jid=3e593d7879eda62b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]","23 hours ago, Part-time, No degree mentioned"
"Delivery driver | Kalamazoo, MI",Uber,"  Kalamazoo, MI   ",via Uber,"[{""link"": ""https://www.uber.com/us/en/e/deliver/kalamazoo-mi-us/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Uber""}]","3 days ago, Part-time, No degree mentioned"
"Part-time driver |  Kalamazoo, MI",Uber,"  Kalamazoo, MI   ",via Uber,"[{""link"": ""https://www.uber.com/us/en/e/drive/kalamazoo-mi-us/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Uber""}]","3 days ago, 21.60 an hour, Part-time"
Walmart Retail Manager in Training,Walmart,"  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.ziprecruiter.com/c/Walmart/Job/Walmart-Retail-Manager-in-Training/-in-Kalamazoo,MI?jid=83bbf2dd8a3f00de&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]","9 days ago, Full-time"
Event Coordinator (5K race),Girls on the Run of Greater Kalamazoo,"  Kalamazoo, MI   ",via Glassdoor,"[{""link"": ""https://www.glassdoor.com/job-listing/event-coordinator-5k-race-girls-on-the-run-of-greater-kalamazoo-JV_IC1134900_KO0,25_KE26,63.htm?jl=1009111229753&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Glassdoor""}]","18 days ago, 19 an hour, Part-time, Paid time off"
Looking For A Dependable House Cleaner For Family Living In Kalamazoo.,Care.com,"  Kalamazoo, MI   ",via Snagajob,"[{""link"": ""https://www.snagajob.com/jobs/934686504?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Snagajob""}]","1 day ago, 14.21–21.96 an hour, Full-time and Part-time, No degree mentioned"
Junior Web Developer (Part-Time),"WMU Homer Stryker, M.D. School of Medicine","  Kalamazoo, MI   ",via Salary.com,"[{""link"": ""https://www.salary.com/job/wmu-homer-stryker-m-d-school-of-medicine/junior-web-developer-part-time/j202202060742022039640?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Salary.com""}]",Part-time
Editor,FlexJobs,"  Kalamazoo, MI   ",via Jobrapido.com,"[{""link"": ""https://us.jobrapido.com/jobpreview/3169694573?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Jobrapido.com""}]","Full-time, No degree mentioned"
