Title,Company,Location,Via,Related Links,Extensions
Retail Sales Associate,Goodwill Industries of Southwestern Michigan,"  Kalamazoo, MI   ",via Glassdoor,"[{""link"": ""https://www.glassdoor.com/job-listing/retail-sales-associate-goodwill-industries-of-southwestern-michigan-JV_IC1134900_KO0,22_KE23,67.htm?jl=1009175733794&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Glassdoor""}]","13 days ago, 10.70 an hour, Full-time and Part-time"
Retail Sales Associate Part Time,PetSmart Careers,"  Kalamazoo, MI   ",via PetSmart Careers,"[{""link"": ""https://www.ziprecruiter.com/c/Goodwill-Industries-of-Southwestern-Michigan/Job/Retail-Sales-Associate/-in-Kalamazoo,MI?jid=d7b2df0f6e772677&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]","Part-time, No degree mentioned"
Retail Sales Associate,"Ollie's Bargain Outlet, Inc.","  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.jobserve.com/us/en/extjob/PART-TIME-SALES-ASSOCIATE-in-Kalamazoo-Michigan-USA-50016A2EA03EB76F05/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on JobServe""}]","Part-time, No degree mentioned"
Customer Service Representative - Facilities,Western Michigan University,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.linkedin.com/jobs/view/customer-service-representative-at-comrise-3873181939?refId=WcoGzZeVuyOKP4yFlJL69g%3D%3D&trackingId=gz8f%2BobkmAvKVTYI2y5lbw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on LinkedIn""}]","1 day ago, Full-time, No degree mentioned, Health insurance, Dental insurance"
Customer Service Representative (1223) 5585 Gull Rd Suite 108...,Domino's Franchise,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=cb3042ad4da9cdc0"", ""text"": ""Apply on Indeed""}]","9 hours ago, Full-time and Part-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
Customer Service Representative | Near Kalamazoo,DigitalHire,"  Kalamazoo, MI   ",via CampusReel,"[{""link"": ""https://www.campusreel.org/jobs/state/michigan/city/kalamazoo/customer-service-representative?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on CampusReel""}]","3 days ago, 40K–50K a year, Full-time, Health insurance, Dental insurance, Paid time off"
Customer Service Representative,Blu Perspective,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://jobs.jblresources.com/jb/Customer-Service-Representative-Jobs-in-Kalamazoo-MI/11033997?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on JBL Resources""}]","7 days ago, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
Customer Service Representative,Comrise,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.indeed.com/viewjob?jk=3bf39815bf0447f1"", ""text"": ""Apply on Indeed""}]","21 days ago, Contractor, No degree mentioned"
Customer Service Representative,"Green Bay Packaging, Inc.","  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.ziprecruiter.com/c/Green-Bay-Packaging,-Inc./Job/Customer-Service-Representative/-in-Kalamazoo,MI?jid=55e9cfd9fd3638e1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]",Full-time
Customer Service Representative,JBL Resources,"  Kalamazoo, MI   ",via JBL Resources,"[{""link"": ""https://www.glassdoor.com/job-listing/customer-service-representative-canney-s-water-conditioning-inc-JV_IC1134900_KO0,31_KE32,63.htm?jl=1009105363755&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Glassdoor""}]","8 days ago, Full-time, No degree mentioned"
Customer Service Representative,Walmart,"  Kalamazoo, MI   ",via Jooble,"[{""link"": ""https://www.indeed.com/viewjob?jk=8228f567ca3e2766"", ""text"": ""Apply directly on Indeed""}]","6 days ago, Per diem, No degree mentioned"
Customer Service Representative,"Canney's Water Conditioning, Inc.","  Kalamazoo, MI   ",via Glassdoor,"[{""link"": ""https://www.talent.com/view?id=b80e75651c76&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Talent.com""}]","19 days ago, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
